"COUNTY","FIPS","LOCATION","E_TOTPOP","E_POV150","E_MINRTY"
"Laramie","56021002001","Census Tract 20.01, Laramie County, Wyoming",4314,573,520
"Laramie","56021002002","Census Tract 20.02, Laramie County, Wyoming",6001,700,1560
"Laramie","56021980801","Census Tract 9808.01, Laramie County, Wyoming",0,0,0
"Lincoln","56023978001","Census Tract 9780.01, Lincoln County, Wyoming",2719,305,253
"Lincoln","56023978002","Census Tract 9780.02, Lincoln County, Wyoming",4361,281,282
"Lincoln","56023978100","Census Tract 9781, Lincoln County, Wyoming",7140,1581,600
"Lincoln","56023978200","Census Tract 9782, Lincoln County, Wyoming",1829,153,118
"Lincoln","56023978400","Census Tract 9784, Lincoln County, Wyoming",3591,479,340
"Natrona","56025000200","Census Tract 2, Natrona County, Wyoming",3157,1222,606
"Natrona","56025000300","Census Tract 3, Natrona County, Wyoming",4093,1309,692
"Natrona","56025000400","Census Tract 4, Natrona County, Wyoming",4304,972,542
"Natrona","56025000501","Census Tract 5.01, Natrona County, Wyoming",5666,1120,663
"Natrona","56025000502","Census Tract 5.02, Natrona County, Wyoming",2787,808,415
"Natrona","56025000601","Census Tract 6.01, Natrona County, Wyoming",2833,146,353
"Natrona","56025000602","Census Tract 6.02, Natrona County, Wyoming",4994,705,256
"Natrona","56025000700","Census Tract 7, Natrona County, Wyoming",2113,255,324
"Natrona","56025000800","Census Tract 8, Natrona County, Wyoming",3603,613,365
"Natrona","56025000901","Census Tract 9.01, Natrona County, Wyoming",5516,1209,842
"Natrona","56025000902","Census Tract 9.02, Natrona County, Wyoming",3966,461,435
"Natrona","56025001000","Census Tract 10, Natrona County, Wyoming",5109,652,736
"Natrona","56025001100","Census Tract 11, Natrona County, Wyoming",2699,623,327
"Natrona","56025001200","Census Tract 12, Natrona County, Wyoming",2504,669,517
"Natrona","56025001401","Census Tract 14.01, Natrona County, Wyoming",5685,587,603
"Natrona","56025001602","Census Tract 16.02, Natrona County, Wyoming",7245,856,1387
"Natrona","56025001603","Census Tract 16.03, Natrona County, Wyoming",4005,229,579
"Natrona","56025001700","Census Tract 17, Natrona County, Wyoming",4768,360,490
"Natrona","56025001801","Census Tract 18.01, Natrona County, Wyoming",2193,224,367
"Natrona","56025001802","Census Tract 18.02, Natrona County, Wyoming",2827,168,277
"Niobrara","56027957200","Census Tract 9572, Niobrara County, Wyoming",2377,762,300
"Park","56029965100","Census Tract 9651, Park County, Wyoming",5381,414,552
"Park","56029965200","Census Tract 9652, Park County, Wyoming",6137,1102,704
"Park","56029965301","Census Tract 9653.01, Park County, Wyoming",3419,252,203
"Park","56029965302","Census Tract 9653.02, Park County, Wyoming",4052,549,302
"Park","56029965401","Census Tract 9654.01, Park County, Wyoming",2275,188,174
"Park","56029965402","Census Tract 9654.02, Park County, Wyoming",3693,449,487
"Park","56029965500","Census Tract 9655, Park County, Wyoming",4316,601,319
"Platte","56031959100","Census Tract 9591, Platte County, Wyoming",1783,405,217
"Platte","56031959401","Census Tract 9594.01, Platte County, Wyoming",5107,909,785
"Platte","56031959402","Census Tract 9594.02, Platte County, Wyoming",1682,160,205
"Sheridan","56033000100","Census Tract 1, Sheridan County, Wyoming",5673,711,573
"Sheridan","56033000200","Census Tract 2, Sheridan County, Wyoming",3146,749,192
"Sheridan","56033000300","Census Tract 3, Sheridan County, Wyoming",3569,470,431
"Sheridan","56033000400","Census Tract 4, Sheridan County, Wyoming",5153,1057,455
"Sheridan","56033000501","Census Tract 5.01, Sheridan County, Wyoming",3043,409,51
"Sheridan","56033000502","Census Tract 5.02, Sheridan County, Wyoming",4312,382,436
"Sheridan","56033000600","Census Tract 6, Sheridan County, Wyoming",5501,693,479
"Sublette","56035000101","Census Tract 1.01, Sublette County, Wyoming",3630,577,632
"Sublette","56035000103","Census Tract 1.03, Sublette County, Wyoming",3081,482,82
"Sublette","56035000104","Census Tract 1.04, Sublette County, Wyoming",3154,206,403
"Sweetwater","56037970500","Census Tract 9705, Sweetwater County, Wyoming",2771,730,655
"Sweetwater","56037970601","Census Tract 9706.01, Sweetwater County, Wyoming",4074,622,976
"Sweetwater","56037970602","Census Tract 9706.02, Sweetwater County, Wyoming",3390,448,619
"Sweetwater","56037970700","Census Tract 9707, Sweetwater County, Wyoming",4155,482,596
"Sweetwater","56037970800","Census Tract 9708, Sweetwater County, Wyoming",3152,761,747
"Sweetwater","56037970902","Census Tract 9709.02, Sweetwater County, Wyoming",4921,650,1050
"Sweetwater","56037970903","Census Tract 9709.03, Sweetwater County, Wyoming",2910,565,929
"Sweetwater","56037970904","Census Tract 9709.04, Sweetwater County, Wyoming",2727,649,460
"Sweetwater","56037970905","Census Tract 9709.05, Sweetwater County, Wyoming",5643,1013,1201
"Sweetwater","56037971000","Census Tract 9710, Sweetwater County, Wyoming",1806,242,390
"Sweetwater","56037971100","Census Tract 9711, Sweetwater County, Wyoming",4102,963,1101
"Sweetwater","56037971200","Census Tract 9712, Sweetwater County, Wyoming",2459,400,411
"Sweetwater","56037971600","Census Tract 9716, Sweetwater County, Wyoming",1242,188,70
"Teton","56039967601","Census Tract 9676.01, Teton County, Wyoming",3630,527,853
"Teton","56039967602","Census Tract 9676.02, Teton County, Wyoming",2326,350,249
"Teton","56039967701","Census Tract 9677.01, Teton County, Wyoming",3359,395,506
"Teton","56039967703","Census Tract 9677.03, Teton County, Wyoming",1568,175,6
"Teton","56039967704","Census Tract 9677.04, Teton County, Wyoming",3593,298,269
"Teton","56039967801","Census Tract 9678.01, Teton County, Wyoming",3150,870,1271
"Teton","56039967802","Census Tract 9678.02, Teton County, Wyoming",5730,164,1233
"Uinta","56041975201","Census Tract 9752.01, Uinta County, Wyoming",2178,256,178
"Uinta","56041975202","Census Tract 9752.02, Uinta County, Wyoming",3418,308,319
"Uinta","56041975301","Census Tract 9753.01, Uinta County, Wyoming",2783,1131,568
"Uinta","56041975302","Census Tract 9753.02, Uinta County, Wyoming",5484,1054,767
"Uinta","56041975401","Census Tract 9754.01, Uinta County, Wyoming",2531,332,206
"Uinta","56041975402","Census Tract 9754.02, Uinta County, Wyoming",3980,592,543
"Washakie","56043000200","Census Tract 2, Washakie County, Wyoming",3124,510,224
"Washakie","56043000301","Census Tract 3.01, Washakie County, Wyoming",2231,265,620
"Washakie","56043000302","Census Tract 3.02, Washakie County, Wyoming",2578,709,602
"Weston","56045951100","Census Tract 9511, Weston County, Wyoming",3276,777,391
"Weston","56045951300","Census Tract 9513, Weston County, Wyoming",3666,539,258
